Name,Bloomberg,Price,RepoRate,almRate,LCR,RWA,BorrowRate,Tier,IndLoanRate,Currency
ORCL,ORCL:US,89,0.13,0.07,0.13,0.2,0.05,1,0.09,USD
ORLY,ORLY:US,34,0.2,0.08,0.17,0.04,0.1,1,0.18,USD
OXY,OXY:US,33,0.07,0.09,0.16,0.02,0.05,1,0.12,USD
PAYX,PAYX:US,33,0.04,0.13,0.12,0.14,0.2,1,0.05,USD
PBCT,PBCT:US,55,0.03,0.16,0.01,0.18,0.09,1,0.2,USD
PBI,PBI:US,9,0.17,0.1,0.11,0.05,0.16,1,0.17,USD
PCAR,PCAR:US,54,0.12,0.08,0.08,0.1,0.11,1,0.01,USD
PCG,PCG:US,83,0.01,0.07,0.14,0.07,0.02,1,0.04,USD
PCL,PCL:US,41,0.13,0.09,0.05,0.1,0.06,1,0.09,USD
PCLN,PCLN:US,63,0.05,0.2,0.13,0.11,0.13,1,0.11,USD
PCP,PCP:US,99,0.07,0.02,0.15,0.08,0.13,1,0.11,USD
PCS,PCS:US,65,0.13,0.17,0.01,0.17,0.12,1,0.17,USD
PDCO,PDCO:US,30,0.13,0.18,0.12,0.13,0.05,1,0.14,USD
PEG,PEG:US,73,0.17,0.01,0.06,0.17,0.02,1,0.03,USD
PEP,PEP:US,53,0.01,0.15,0.01,0.13,0.02,1,0.18,USD
PETM,PETM:US,30,0.02,0.14,0.2,0.14,0.05,1,0.07,USD
PFE,PFE:US,83,0.12,0.12,0.04,0.02,0.14,1,0.13,USD
PFG,PFG:US,22,0.14,0.01,0.01,0.14,0.18,1,0.14,USD
PG,PG:US,87,0.02,0.13,0.12,0.09,0.02,1,0.15,USD
PGR,PGR:US,35,0.19,0.16,0.14,0.17,0.18,1,0.07,USD
PH,PH:US,68,0.13,0.19,0.13,0.04,0.16,1,0.09,USD
PHM,PHM:US,14,0.15,0.1,0.1,0.04,0.13,1,0.17,USD
PKI,PKI:US,53,0.12,0.11,0.17,0.16,0.07,1,0.03,USD
PLD,PLD:US,61,0.05,0.13,0.04,0.02,0.12,1,0.16,USD
PLL,PLL:US,78,0.14,0.11,0.13,0.05,0.08,1,0.19,USD
PM,PM:US,9,0.01,0.19,0.02,0.11,0.1,1,0.05,USD
PNC,PNC:US,26,0.15,0.19,0.06,0.12,0.01,1,0.1,USD
PNR,PNR:US,29,0.16,0.03,0.08,0.1,0.04,1,0.07,USD
PNW,PNW:US,43,0.17,0.07,0.07,0.08,0.03,1,0.07,USD
POM,POM:US,88,0.09,0.15,0.12,0.18,0.07,1,0.04,USD
PPG,PPG:US,22,0.1,0.17,0.17,0.12,0.01,1,0.08,USD
PPL,PPL:US,13,0.1,0.14,0.02,0.04,0.01,1,0.06,USD
PRGO,PRGO:US,77,0.02,0.03,0.2,0.06,0.01,1,0.16,USD
PRU,PRU:US,21,0.09,0.05,0.17,0.13,0.03,1,0.15,USD
PSA,PSA:US,32,0.08,0.04,0.03,0.19,0.2,1,0.14,USD
PSX,PSX:US,24,0.03,0.08,0.19,0.02,0.06,1,0.08,USD
PWR,PWR:US,36,0.16,0.13,0.12,0.13,0.15,1,0.06,USD
PX,PX:US,26,0.03,0.14,0.11,0.04,0.08,1,0.02,USD
PXD,PXD:US,48,0.04,0.06,0.02,0.11,0.13,1,0.17,USD
QCOM,QCOM:US,55,0.11,0.19,0.16,0.12,0.17,1,0.18,USD
QEP,QEP:US,67,0.11,0.09,0.17,0.07,0.08,1,0.18,USD
R,R:US,50,0.07,0.12,0.15,0.16,0.18,1,0.02,USD
RAI,RAI:US,76,0.18,0.05,0.15,0.17,0.02,1,0.16,USD
RDC,RDC:US,41,0.08,0.19,0.2,0.05,0.1,1,0.12,USD
RF,RF:US,19,0.11,0.1,0.02,0.03,0.12,1,0.1,USD
RHI,RHI:US,56,0.11,0.1,0.16,0.2,0.17,1,0.02,USD
RHT,RHT:US,65,0.15,0.15,0.04,0.12,0.08,1,0.08,USD
RL,RL:US,29,0.07,0.2,0.02,0.09,0.09,1,0.15,USD
ROK,ROK:US,56,0.19,0.18,0.18,0.01,0.06,1,0.06,USD
ROP,ROP:US,36,0.06,0.01,0.03,0.16,0.05,1,0.06,USD
ROST,ROST:US,53,0.02,0.07,0.2,0.1,0.15,1,0.09,USD
RRC,RRC:US,15,0.09,0.06,0.16,0.18,0.18,1,0.14,USD
RRD,RRD:US,42,0.15,0.1,0.17,0.16,0.15,1,0.2,USD
RSG,RSG:US,82,0.13,0.04,0.15,0.12,0.12,1,0.16,USD
RTN,RTN:US,65,0.04,0.06,0.1,0.17,0.19,1,0.03,USD
S,S:US,3,0.02,0.05,0.06,0.18,0.04,1,0.18,USD
SAI,SAI:US,67,0.19,0.01,0.08,0.06,0.13,1,0.13,USD
SBUX,SBUX:US,24,0.09,0.06,0.01,0.05,0.1,1,0.07,USD
SCG,SCG:US,75,0.17,0.1,0.07,0.08,0.15,1,0.2,USD
SCHW,SCHW:US,97,0.06,0.01,0.02,0.14,0.14,1,0.18,USD
SE,SE:US,99,0.11,0.2,0.16,0.19,0.2,1,0.06,USD
SEE,SEE:US,53,0.01,0.05,0.2,0.08,0.01,1,0.06,USD
SHW,SHW:US,90,0.07,0.11,0.19,0.18,0.16,1,0.04,USD
SIAL,SIAL:US,16,0.04,0.12,0.11,0.07,0.11,1,0.09,USD
SJM,SJM:US,23,0.2,0.03,0.08,0.2,0.13,1,0.1,USD
SLB,SLB:US,93,0.03,0.08,0.04,0.09,0.14,1,0.11,USD
SLM,SLM:US,93,0.16,0.02,0.04,0.11,0.02,1,0.16,USD
SNA,SNA:US,19,0.07,0.16,0.1,0.14,0.15,1,0.11,USD
SNDK,SNDK:US,77,0.14,0.15,0.15,0.13,0.06,1,0.17,USD
SNI,SNI:US,18,0.18,0.14,0.02,0.05,0.17,1,0.13,USD
SO,SO:US,16,0.13,0.1,0.02,0.11,0.16,1,0.08,USD
SPG,SPG:US,69,0.06,0.13,0.03,0.15,0.1,1,0.13,USD
SPLS,SPLS:US,43,0.01,0.2,0.2,0.15,0.1,1,0.08,USD
SRCL,SRCL:US,49,0.02,0.05,0.03,0.1,0.01,1,0.11,USD
SRE,SRE:US,51,0.01,0.2,0.19,0.07,0.18,1,0.08,USD
STI,STI:US,18,0.01,0.16,0.11,0.2,0.18,1,0.03,USD
STJ,STJ:US,56,0.05,0.07,0.12,0.19,0.2,1,0.11,USD
STT,STT:US,70,0.17,0.17,0.14,0.12,0.11,1,0.11,USD
STX,STX:US,49,0.19,0.07,0.05,0.1,0.08,1,0.02,USD
STZ,STZ:US,47,0.07,0.04,0.06,0.01,0.15,1,0.19,USD
SWK,SWK:US,13,0.2,0.11,0.17,0.08,0.19,1,0.05,USD
SWN,SWN:US,56,0.07,0.2,0.03,0.13,0.12,1,0.08,USD
SWY,SWY:US,49,0.13,0.06,0.04,0.18,0.04,1,0.01,USD
SYK,SYK:US,16,0.14,0.04,0.01,0.01,0.07,1,0.18,USD
SYMC,SYMC:US,6,0.17,0.03,0.08,0.05,0.12,1,0.1,USD
SYY,SYY:US,94,0.13,0.11,0.19,0.04,0.1,1,0.06,USD
T,T:US,7,0.17,0.12,0.18,0.11,0.09,1,0.12,USD
TAP,TAP:US,70,0.06,0.17,0.08,0.14,0.11,1,0.18,USD
TDC,TDC:US,77,0.1,0.15,0.07,0.04,0.1,1,0.14,USD
TE,TE:US,83,0.18,0.12,0.04,0.08,0.05,1,0.05,USD
TEG,TEG:US,40,0.15,0.12,0.14,0.05,0.1,1,0.05,USD
TEL,TEL:US,91,0.14,0.09,0.03,0.16,0.01,1,0.01,USD
TER,TER:US,80,0.07,0.1,0.02,0.19,0.04,1,0.12,USD
TGT,TGT:US,32,0.04,0.01,0.09,0.11,0.19,1,0.19,USD
THC,THC:US,70,0.04,0.03,0.13,0.13,0.13,1,0.03,USD
TIE,TIE:US,61,0.16,0.11,0.14,0.02,0.18,1,0.18,USD
TIF,TIF:US,33,0.18,0.12,0.15,0.11,0.03,1,0.16,USD
TJX,TJX:US,9,0.14,0.2,0.19,0.19,0.08,1,0.05,USD
TMK,TMK:US,5,0.05,0.05,0.05,0.1,0.04,1,0.1,USD
TMO,TMO:US,27,0.15,0.08,0.03,0.19,0.14,1,0.1,USD
TRIP,TRIP:US,88,0.12,0.2,0.19,0.16,0.14,1,0.2,USD
TROW,TROW:US,5,0.13,0.08,0.07,0.16,0.13,1,0.12,USD
TRV,TRV:US,3,0.16,0.13,0.02,0.09,0.2,1,0.11,USD
TSN,TSN:US,77,0.08,0.02,0.14,0.13,0.11,1,0.17,USD
TSO,TSO:US,68,0.06,0.03,0.15,0.16,0.14,1,0.17,USD
TSS,TSS:US,18,0.14,0.01,0.15,0.03,0.17,1,0.18,USD
TWC,TWC:US,72,0.13,0.16,0.13,0.03,0.05,1,0.09,USD
TWX,TWX:US,54,0.11,0.12,0.07,0.01,0.07,1,0.08,USD
TXN,TXN:US,15,0.02,0.01,0.2,0.18,0.1,1,0.11,USD
TXT,TXT:US,27,0.09,0.11,0.14,0.09,0.01,1,0.19,USD
TYC,TYC:US,73,0.18,0.11,0.17,0.16,0.11,1,0.2,USD
UNH,UNH:US,52,0.01,0.05,0.03,0.06,0.04,1,0.07,USD
UNM,UNM:US,43,0.18,0.19,0.16,0.13,0.12,1,0.17,USD
UNP,UNP:US,66,0.2,0.12,0.1,0.07,0.09,1,0.11,USD
UPS,UPS:US,30,0.07,0.18,0.01,0.13,0.18,1,0.18,USD
URBN,URBN:US,18,0.03,0.01,0.12,0.19,0.09,1,0.06,USD
USB,USB:US,70,0.09,0.11,0.02,0.03,0.18,1,0.19,USD
UTX,UTX:US,23,0.16,0.07,0.19,0.08,0.12,1,0.17,USD
V,V:US,48,0.08,0.05,0.07,0.16,0.17,1,0.05,USD
VAR,VAR:US,67,0.17,0.04,0.08,0.17,0.16,1,0.18,USD
VFC,VFC:US,57,0.14,0.15,0.08,0.01,0.13,1,0.11,USD
VIAB,VIAB:US,63,0.13,0.16,0.06,0.17,0.19,1,0.1,USD
VLO,VLO:US,2,0.19,0.04,0.16,0.12,0.11,1,0.07,USD
VMC,VMC:US,54,0.05,0.12,0.01,0.12,0.11,1,0.06,USD
VNO,VNO:US,44,0.08,0.15,0.17,0.09,0.12,1,0.07,USD
VRSN,VRSN:US,67,0.1,0.07,0.14,0.1,0.1,1,0.01,USD
VTR,VTR:US,95,0.1,0.16,0.2,0.15,0.16,1,0.03,USD
VZ,VZ:US,86,0.02,0.09,0.15,0.17,0.19,1,0.04,USD
WAG,WAG:US,70,0.1,0.13,0.04,0.04,0.2,1,0.05,USD
WAT,WAT:US,92,0.07,0.05,0.15,0.17,0.06,1,0.02,USD
WDC,WDC:US,20,0.15,0.05,0.04,0.11,0.15,1,0.13,USD
WEC,WEC:US,10,0.13,0.2,0.1,0.04,0.02,1,0.18,USD
WFC,WFC:US,22,0.05,0.07,0.13,0.06,0.16,1,0.12,USD
WFM,WFM:US,13,0.1,0.12,0.15,0.12,0.05,1,0.04,USD
WHR,WHR:US,60,0.04,0.11,0.15,0.09,0.14,1,0.1,USD
WIN,WIN:US,63,0.06,0.12,0.19,0.03,0.18,1,0.17,USD
WLP,WLP:US,85,0.15,0.03,0.14,0.17,0.06,1,0.1,USD
WM,WM:US,7,0.17,0.11,0.13,0.2,0.07,1,0.11,USD
WMB,WMB:US,9,0.06,0.09,0.08,0.16,0.13,1,0.09,USD
WMT,WMT:US,70,0.02,0.19,0.16,0.14,0.06,1,0.18,USD
WPI,WPI:US,45,0.2,0.17,0.1,0.18,0.05,1,0.14,USD
WPO,WPO:US,98,0.05,0.2,0.03,0.19,0.08,1,0.18,USD
WPX,WPX:US,78,0.01,0.18,0.15,0.1,0.09,1,0.18,USD
WU,WU:US,61,0.15,0.04,0.12,0.09,0.03,1,0.11,USD
WY,WY:US,87,0.16,0.19,0.05,0.16,0.07,1,0.03,USD
WYN,WYN:US,18,0.17,0.02,0.14,0.19,0.17,1,0.08,USD
WYNN,WYNN:US,48,0.07,0.18,0.16,0.15,0.1,1,0.1,USD
X,X:US,46,0.11,0.1,0.04,0.09,0.08,1,0.1,USD
XEL,XEL:US,78,0.13,0.19,0.09,0.1,0.05,1,0.15,USD
XL,XL:US,41,0.03,0.09,0.02,0.19,0.19,1,0.04,USD
XLNX,XLNX:US,57,0.08,0.06,0.09,0.05,0.06,1,0.02,USD
XOM,XOM:US,42,0.18,0.1,0.09,0.06,0.07,1,0.02,USD
XRAY,XRAY:US,6,0.06,0.1,0.16,0.1,0.03,1,0.07,USD
XRX,XRX:US,67,0.07,0.09,0.07,0.15,0.01,1,0.15,USD
XYL,XYL:US,48,0.14,0.03,0.14,0.16,0.06,1,0.1,USD
YHOO,YHOO:US,70,0.07,0.16,0.01,0.19,0.06,1,0.04,USD
YUM,YUM:US,94,0.18,0.11,0.2,0.12,0.04,1,0.09,USD
ZION,ZION:US,98,0.1,0.03,0.05,0.15,0.12,1,0.16,USD
ZMH,ZMH:US,17,0.05,0.02,0.2,0.15,0.08,1,0.11,USD
CBA,CBA:AU,85,0.1,0.16,0.16,0.2,0.02,2,0.01,AUD
WBC,WBC:AU,56,0.2,0.1,0.03,0.03,0.16,2,0.09,AUD
BHP,BHP:AU,47,0.05,0.08,0.18,0.16,0.03,2,0.12,AUD
ANZ,ANZ:AU,1,0.03,0.06,0.12,0.05,0.01,2,0.15,AUD
NAB,NAB:AU,60,0.14,0.18,0.14,0.01,0.07,2,0.16,AUD
CSL,CSL:AU,69,0.03,0.18,0.15,0.03,0.17,2,0.02,AUD
WES,WES:AU,63,0.16,0.09,0.01,0.15,0.1,2,0.15,AUD
TLS,TLS:AU,66,0.14,0.03,0.01,0.15,0.18,2,0.03,AUD
WOW,WOW:AU,88,0.2,0.06,0.16,0.14,0.02,2,0.12,AUD
MQG,MQG:AU,37,0.02,0.1,0.18,0.06,0.19,2,0.09,AUD
RIO,RIO:AU,22,0.13,0.12,0.17,0.09,0.19,2,0.05,AUD
TCL,TCL:AU,75,0.03,0.03,0.03,0.19,0.08,2,0.15,AUD
WPL,WPL:AU,74,0.06,0.15,0.13,0.09,0.19,2,0.17,AUD
SCG,SCG:AU,14,0.07,0.04,0.09,0.03,0.15,2,0.05,AUD
FMG,FMG:AU,75,0.15,0.07,0.07,0.19,0.15,2,0.17,AUD
AMC,AMC:AU,53,0.13,0.14,0.02,0.1,0.02,2,0.13,AUD
NCM,NCM:AU,13,0.05,0.09,0.06,0.15,0.06,2,0.07,AUD
SUN,SUN:AU,29,0.14,0.06,0.02,0.17,0.07,2,0.04,AUD
AC,AC:FP,92,0.03,0.05,0.17,0.1,0.07,3,0.03,EUR
AI,AI:FP,44,0.11,0.02,0.04,0.04,0.11,3,0.07,EUR
AIR,AIR:FP,45,0.2,0.1,0.14,0.07,0.2,3,0.05,EUR
MT,MT:FP,28,0.16,0.1,0.18,0.03,0.11,3,0.05,EUR
ATO,ATO:FP,14,0.04,0.19,0.13,0.02,0.11,3,0.07,EUR
CS,CS:FP,29,0.04,0.02,0.07,0.03,0.19,3,0.17,EUR
BNP,BNP:FP,59,0.05,0.18,0.01,0.05,0.1,3,0.19,EUR
EN,EN:FP,64,0.08,0.03,0.07,0.04,0.16,3,0.08,EUR
CAP,CAP:FP,45,0.05,0.19,0.04,0.09,0.01,3,0.04,EUR
CA,CA:FP,3,0.2,0.05,0.07,0.12,0.06,3,0.12,EUR
ACA,ACA:FP,24,0.12,0.17,0.1,0.1,0.04,3,0.13,EUR
BN,BN:FP,21,0.02,0.07,0.08,0.11,0.18,3,0.12,EUR
ENGI,ENGI:FP,2,0.11,0.07,0.15,0.09,0.04,3,0.16,EUR
EI,EI:FP,81,0.04,0.18,0.04,0.02,0.18,3,0.04,EUR
KER,KER:FP,99,0.19,0.19,0.17,0.14,0.01,3,0.2,EUR
LHN,LHN:FP,8,0.2,0.12,0.08,0.13,0.06,3,0.12,EUR
LR,LR:FP,11,0.2,0.19,0.15,0.15,0.11,3,0.14,EUR
1332,1332:JP,97,0.15,0.16,0.04,0.01,0.19,4,0.11,JPY
1605,1605:JP,14,0.01,0.19,0.18,0.19,0.15,4,0.14,JPY
1719,1719:JP,91,0.19,0.07,0.02,0.02,0.08,4,0.2,JPY
1720,1720:JP,57,0.07,0.14,0.18,0.19,0.08,4,0.06,JPY
1721,1721:JP,54,0.02,0.02,0.09,0.02,0.01,4,0.1,JPY
1801,1801:JP,92,0.17,0.13,0.13,0.14,0.08,4,0.17,JPY
1802,1802:JP,3,0.09,0.01,0.17,0.18,0.03,4,0.17,JPY
1803,1803:JP,72,0.17,0.08,0.03,0.02,0.16,4,0.07,JPY
1808,1808:JP,29,0.06,0.04,0.18,0.03,0.03,4,0.02,JPY
1812,1812:JP,3,0.14,0.18,0.05,0.16,0.18,4,0.08,JPY
1821,1821:JP,80,0.2,0.15,0.12,0.2,0.13,4,0.18,JPY
1861,1861:JP,68,0.17,0.11,0.04,0.03,0.18,4,0.04,JPY
1878,1878:JP,6,0.11,0.13,0.15,0.13,0.03,4,0.17,JPY
1881,1881:JP,15,0.18,0.19,0.06,0.01,0.13,4,0.07,JPY
1883,1883:JP,91,0.05,0.03,0.19,0.09,0.15,4,0.18,JPY
1911,1911:JP,95,0.08,0.16,0.12,0.04,0.08,4,0.16,JPY
1925,1925:JP,93,0.12,0.14,0.06,0.15,0.07,4,0.16,JPY
1928,1928:JP,30,0.06,0.05,0.05,0.05,0.04,4,0.2,JPY
1951,1951:JP,90,0.03,0.08,0.06,0.07,0.16,4,0.03,JPY
1959,1959:JP,80,0.18,0.04,0.2,0.05,0.15,4,0.14,JPY
1963,1963:JP,75,0.05,0.03,0.11,0.13,0.14,4,0.06,JPY
2121,2121:JP,12,0.1,0.03,0.02,0.02,0.18,4,0.05,JPY
2127,2127:JP,6,0.16,0.11,0.12,0.09,0.07,4,0.13,JPY
2181,2181:JP,42,0.15,0.11,0.01,0.07,0.02,4,0.07,JPY
2193,2193:JP,16,0.14,0.16,0.05,0.19,0.06,4,0.1,JPY
2206,2206:JP,70,0.04,0.19,0.07,0.11,0.12,4,0.1,JPY
2229,2229:JP,55,0.08,0.15,0.02,0.08,0.18,4,0.09,JPY
2267,2267:JP,14,0.08,0.01,0.16,0.16,0.12,4,0.11,JPY
2269,2269:JP,31,0.11,0.17,0.19,0.13,0.06,4,0.2,JPY
2282,2282:JP,98,0.03,0.07,0.03,0.19,0.18,4,0.14,JPY
2331,2331:JP,98,0.15,0.16,0.15,0.12,0.16,4,0.13,JPY
2337,2337:JP,52,0.14,0.15,0.09,0.03,0.11,4,0.14,JPY
2371,2371:JP,53,0.1,0.06,0.11,0.04,0.11,4,0.05,JPY
2379,2379:JP,49,0.18,0.04,0.15,0.17,0.2,4,0.09,JPY
000030,000030:KS,26,0.09,0.05,0.13,0.03,0.1,4,0.08,KRW
094800,094800:KS,97,0.13,0.05,0.15,0.02,0.19,4,0.17,KRW
006390,006390:KS,82,0.17,0.04,0.17,0.13,0.06,4,0.2,KRW
005930,005930:KS,52,0.14,0.18,0.01,0.1,0.16,4,0.1,KRW
168490,168490:KS,42,0.17,0.15,0.15,0.15,0.15,4,0.04,KRW
009310,009310:KS,46,0.08,0.13,0.06,0.1,0.15,4,0.13,KRW
152550,152550:KS,10,0.05,0.02,0.16,0.12,0.05,4,0.1,KRW
096300,096300:KS,18,0.05,0.13,0.1,0.18,0.18,4,0.01,KRW
000660,000660:KS,1,0.2,0.09,0.15,0.15,0.08,4,0.19,KRW
005380,005380:KS,8,0.07,0.04,0.04,0.02,0.02,4,0.15,KRW
099340,099340:KS,43,0.14,0.17,0.16,0.17,0.02,4,0.17,KRW
015760,015760:KS,66,0.18,0.13,0.07,0.15,0.01,4,0.02,KRW
035420,035420:KS,77,0.12,0.05,0.13,0.17,0.11,4,0.15,KRW
005490,005490:KS,82,0.11,0.16,0.13,0.04,0.13,4,0.06,KRW
012330,012330:KS,76,0.11,0.04,0.05,0.08,0.2,4,0.17,KRW
055550,055550:KS,27,0.06,0.09,0.12,0.05,0.15,4,0.09,KRW
028260,028260:KS,11,0.13,0.16,0.14,0.12,0.13,4,0.03,KRW
032830,032830:KS,61,0.18,0.2,0.16,0.01,0.14,4,0.1,KRW
051910,051910:KS,74,0.01,0.01,0.12,0.03,0.01,4,0.18,KRW
105560,105560:KS,23,0.14,0.04,0.1,0.19,0.08,4,0.1,KRW
090430,090430:KS,59,0.13,0.06,0.14,0.07,0.08,4,0.15,KRW
017670,017670:KS,72,0.07,0.12,0.02,0.09,0.04,4,0.09,KRW
000270,000270:KS,9,0.05,0.15,0.03,0.2,0.14,4,0.07,KRW
096770,096770:KS,41,0.04,0.02,0.12,0.14,0.11,4,0.07,KRW
033780,033780:KS,62,0.01,0.11,0.2,0.04,0.19,4,0.12,KRW
011170,011170:KS,89,0.2,0.15,0.16,0.06,0.07,4,0.06,KRW
034730,034730:KS,59,0.1,0.19,0.05,0.14,0.04,4,0.11,KRW
051900,051900:KS,5,0.13,0.02,0.16,0.06,0.04,4,0.16,KRW
066570,066570:KS,81,0.01,0.06,0.19,0.14,0.16,4,0.1,KRW
009540,009540:KS,51,0.08,0.19,0.09,0.2,0.05,4,0.13,KRW
